"id","external_id","tekra_key","asbis_key","name_bg","name_en","sort_order","platform","created_at","updated_at","created_by","last_modified_by","is_filter","most_key","filter_order"
4208,,,дължина_мм,Дължина (мм),Дължина (мм),50,ASBIS,2026-05-19 15:49:08.224,2026-05-19 15:49:08.224,system,system,true,,
4211,,,макс_диапазон_на_действие_на_сигнала_на_открито,Макс. диапазон на действие на сигнала на открито,Макс. диапазон на действие на сигнала на открито,50,ASBIS,2026-05-19 15:49:08.251,2026-05-19 15:49:08.251,system,system,true,,
4213,,,поддържани_bluetooth_профили,Поддържани Bluetooth профили,Поддържани Bluetooth профили,50,ASBIS,2026-05-19 15:49:08.277,2026-05-19 15:49:08.277,system,system,true,,
4214,,,тип_мрежово_оборудване,Тип мрежово оборудване,Тип мрежово оборудване,50,ASBIS,2026-05-19 15:49:08.292,2026-05-19 15:49:08.292,system,system,true,,
4216,,,безжична_технология,Безжична технология,Безжична технология,50,ASBIS,2026-05-19 15:49:08.310,2026-05-19 15:49:08.310,system,system,true,,
4220,,,displayport,DisplayPort,DisplayPort,50,ASBIS,2026-05-19 15:49:08.396,2026-05-19 15:49:08.396,system,system,true,,
4222,,,характеристики_на_микрофона,Характеристики на микрофона,Характеристики на микрофона,50,ASBIS,2026-05-19 15:49:08.413,2026-05-19 15:49:08.413,system,system,true,,
4223,,,usb_3_1,USB 3.1,USB 3.1,50,ASBIS,2026-05-19 15:49:08.472,2026-05-19 15:49:08.472,system,system,true,,
4224,,,bluetooth_честота,Bluetooth - Честота,Bluetooth - Честота,50,ASBIS,2026-05-19 15:49:08.480,2026-05-19 15:49:08.480,system,system,true,,
4225,,,име,Име,Име,50,ASBIS,2026-05-19 15:49:08.524,2026-05-19 15:49:08.524,system,system,true,,
4226,,,loadcell_sensor,Loadcell Sensor,Loadcell Sensor,50,ASBIS,2026-05-19 15:49:08.537,2026-05-19 15:49:08.537,system,system,true,,
4228,,,pp,PP,PP,50,ASBIS,2026-05-19 15:49:08.546,2026-05-19 15:49:08.546,system,system,true,,
4229,,,silica_gel_60_65ha,Silica gel/60-65HA,Silica gel/60-65HA,50,ASBIS,2026-05-19 15:49:08.554,2026-05-19 15:49:08.554,system,system,true,,
4230,,,pom,POM,POM,50,ASBIS,2026-05-19 15:49:08.555,2026-05-19 15:49:08.555,system,system,true,,
4231,,,pa_30_gf,PA+30%GF,PA+30%GF,50,ASBIS,2026-05-19 15:49:08.568,2026-05-19 15:49:08.568,system,system,true,,
4232,,,nitrile_rubber_buna,Nitrile rubber buna,Nitrile rubber buna,50,ASBIS,2026-05-19 15:49:08.581,2026-05-19 15:49:08.581,system,system,true,,
4233,,,abs,ABS,ABS,50,ASBIS,2026-05-19 15:49:08.587,2026-05-19 15:49:08.587,system,system,true,,
4190,,,vacuum_cleaner,Прахосмукачка,Vacuum Cleaner,50,ASBIS,2026-05-19 15:49:07.742,2026-05-19 15:49:07.742,system,system,true,,
4192,,,cord_length_m,Дължина на кабела (м),Cord Length (m),50,ASBIS,2026-05-19 15:49:07.908,2026-05-19 15:49:07.908,system,system,true,,
4193,,,power_station,Захранваща станция,Power Station,50,ASBIS,2026-05-19 15:49:07.915,2026-05-19 15:49:07.915,system,system,true,,
4201,,,type_of_video_conference_solution,Тип решение за видеоконферентна връзка,Type of Video Conference Solution,50,ASBIS,2026-05-19 15:49:08.067,2026-05-19 15:49:08.067,system,system,true,,
4202,,,length_mm,Дължина (мм),Length (mm),50,ASBIS,2026-05-19 15:49:08.072,2026-05-19 15:49:08.072,system,system,true,,
4205,,,in_the_box,Съдържание на опаковката,In the Box,50,ASBIS,2026-05-19 15:49:08.188,2026-05-19 15:49:08.188,system,system,true,,
4206,,,diameter_mm,Диаметър (мм),Diameter (mm),50,ASBIS,2026-05-19 15:49:08.214,2026-05-19 15:49:08.214,system,system,true,,
4209,,,battery_recharge,Презареждане на батерията,Battery Recharge,50,ASBIS,2026-05-19 15:49:08.245,2026-05-19 15:49:08.245,system,system,true,,
4212,,,audio_playback,Аудио възпроизвеждане,Audio playback,50,ASBIS,2026-05-19 15:49:08.261,2026-05-19 15:49:08.261,system,system,true,,
4215,,,talk,Разговори,Talk,50,ASBIS,2026-05-19 15:49:08.299,2026-05-19 15:49:08.299,system,system,true,,
4217,,,main_motor_power_w,Мощност на основния мотор (W),Main Motor Power (W),50,ASBIS,2026-05-19 15:49:08.326,2026-05-19 15:49:08.326,system,system,true,,
4218,,,battery_notes,Бележки за батерията,Battery Notes,50,ASBIS,2026-05-19 15:49:08.335,2026-05-19 15:49:08.335,system,system,true,,
4219,,,kind_of_appliance,Вид уред,Kind of Appliance,50,ASBIS,2026-05-19 15:49:08.345,2026-05-19 15:49:08.345,system,system,true,,
4227,,,adjustable_spring_force_level,Регулируема пружинна сила,Adjustable Spring Force Level,50,ASBIS,2026-05-19 15:49:08.540,2026-05-19 15:49:08.540,system,system,true,,
4234,,,номинален_входящ_ток,Номинален входящ ток,Номинален входящ ток,50,ASBIS,2026-05-19 15:49:08.601,2026-05-19 15:49:08.601,system,system,true,,
4235,,,pc,PC,PC,50,ASBIS,2026-05-19 15:49:08.618,2026-05-19 15:49:08.618,system,system,true,,
5936,,,,ECC registered,ECC registered,50,MOST,2026-05-26 01:25:42.425,2026-05-26 01:25:42.425,system,system,true,ecc_registered,
6523,1439,,,Вид дисплей,Display,689,VALI,2026-06-03 01:02:21.608,2026-06-03 01:02:21.608,system,system,true,,
4244,,,име_на_аксесоар,Име на аксесоар,Име на аксесоар,50,ASBIS,2026-05-19 15:49:09.304,2026-05-19 15:49:09.304,system,system,true,,
4245,,,dirty_water_container,Dirty Water Container,Dirty Water Container,50,ASBIS,2026-05-19 15:49:09.320,2026-05-19 15:49:09.320,system,system,true,,
4247,,,поддържан_клас_на_размера_на_батерията,Поддържан клас на размера на батерията,Поддържан клас на размера на батерията,50,ASBIS,2026-05-19 15:49:09.327,2026-05-19 15:49:09.327,system,system,true,,
4249,,,време_за_пълно_зареждане,Време за пълно зареждане,Време за пълно зареждане,50,ASBIS,2026-05-19 15:49:09.333,2026-05-19 15:49:09.333,system,system,true,,
4253,,,standby,Standby,Standby,50,ASBIS,2026-05-19 15:49:09.351,2026-05-19 15:49:09.351,system,system,true,,
4254,,,playback,Playback,Playback,50,ASBIS,2026-05-19 15:49:09.353,2026-05-19 15:49:09.353,system,system,true,,
4255,,,изходна_мощност_на_канал,Изходна мощност на канал,Изходна мощност на канал,50,ASBIS,2026-05-19 15:49:09.360,2026-05-19 15:49:09.360,system,system,true,,
4256,,,брой_високоговорители,Брой високоговорители,Брой високоговорители,50,ASBIS,2026-05-19 15:49:09.399,2026-05-19 15:49:09.399,system,system,true,,
4257,,,tv_характеристики,TV характеристики,TV характеристики,50,ASBIS,2026-05-19 15:49:09.413,2026-05-19 15:49:09.413,system,system,true,,
4258,,,място_на_екрана,Място на екрана,Място на екрана,50,ASBIS,2026-05-19 15:49:09.435,2026-05-19 15:49:09.435,system,system,true,,
4260,,,вграден_tv_тунер,Вграден TV тунер,Вграден TV тунер,50,ASBIS,2026-05-19 15:49:09.442,2026-05-19 15:49:09.442,system,system,true,,
4267,,,захранващ_адаптер,Захранващ адаптер,Захранващ адаптер,50,ASBIS,2026-05-19 15:49:09.943,2026-05-19 15:49:09.943,system,system,true,,
4268,,,sata,SATA,SATA,50,ASBIS,2026-05-19 15:49:09.955,2026-05-19 15:49:09.955,system,system,true,,
4269,,,vga,VGA,VGA,50,ASBIS,2026-05-19 15:49:09.962,2026-05-19 15:49:09.962,system,system,true,,
4271,,,вентилатори_брой,Вентилатори-брой,Вентилатори-брой,50,ASBIS,2026-05-19 15:49:09.969,2026-05-19 15:49:09.969,system,system,true,,
4273,,,характеристики_на_мрежови_диск,Характеристики на мрежови диск,Характеристики на мрежови диск,50,ASBIS,2026-05-19 15:49:10.065,2026-05-19 15:49:10.065,system,system,true,,
4274,,,поддържани_интерфейси,Поддържани интерфейси,Поддържани интерфейси,50,ASBIS,2026-05-19 15:49:10.066,2026-05-19 15:49:10.066,system,system,true,,
4275,,,брой_hot_swap_гнезда_за_3_5_инчови_устройства,"Брой Hot-Swap гнезда за 3,5-инчови устройства","Брой Hot-Swap гнезда за 3,5-инчови устройства",50,ASBIS,2026-05-19 15:49:10.074,2026-05-19 15:49:10.074,system,system,true,,
4276,,,общ_брой_слотове_за_памет,Общ брой слотове за памет,Общ брой слотове за памет,50,ASBIS,2026-05-19 15:49:10.078,2026-05-19 15:49:10.078,system,system,true,,
4277,,,поддържано_raid_ниво,Поддържано RAID ниво,Поддържано RAID ниво,50,ASBIS,2026-05-19 15:49:10.085,2026-05-19 15:49:10.085,system,system,true,,
4278,,,акустичен_дизайн,Акустичен дизайн,Акустичен дизайн,50,ASBIS,2026-05-19 15:49:10.091,2026-05-19 15:49:10.091,system,system,true,,
5468,,,maximum_packet_width,Maximum Packet Width,Maximum Packet Width,50,ASBIS,2026-05-19 15:49:19.795,2026-05-19 15:49:19.795,system,system,true,,
4248,,,tube_type,Тип тръба,Tube Type,50,ASBIS,2026-05-19 15:49:09.333,2026-05-19 15:49:09.333,system,system,true,,
4251,,,warranty_products_returnable,Продукти подлежащи на гаранционно връщане,Warranty Products Returnable,50,ASBIS,2026-05-19 15:49:09.341,2026-05-19 15:49:09.341,system,system,true,,
4252,,,warranty_validation_criteria,Критерии за валидиране на гаранцията,Warranty Validation Criteria,50,ASBIS,2026-05-19 15:49:09.345,2026-05-19 15:49:09.345,system,system,true,,
4259,,,multimedia_type,Мултимедиен тип,Multimedia Type,50,ASBIS,2026-05-19 15:49:09.436,2026-05-19 15:49:09.436,system,system,true,,
4262,,,battery_included,Включена батерия,Battery Included,50,ASBIS,2026-05-19 15:49:09.626,2026-05-19 15:49:09.626,system,system,true,,
4265,,,video_input_channels_quantity,Брой видео входни канали,Video Input Channels Quantity,50,ASBIS,2026-05-19 15:49:09.936,2026-05-19 15:49:09.936,system,system,true,,
4270,,,expansion_slot,Слот за разширение,Expansion Slot,50,ASBIS,2026-05-19 15:49:09.966,2026-05-19 15:49:09.966,system,system,true,,
4272,,,storage_system_type,Тип система за съхранение,Storage System Type,50,ASBIS,2026-05-19 15:49:10.063,2026-05-19 15:49:10.063,system,system,true,,
4279,,,защита_от_влияние_от_външна_среда,Защита от влияние от външна среда,Защита от влияние от външна среда,50,ASBIS,2026-05-19 15:49:10.092,2026-05-19 15:49:10.092,system,system,true,,
4280,,,технология_на_дистанционно_управление,Технология на дистанционно управление,Технология на дистанционно управление,50,ASBIS,2026-05-19 15:49:10.132,2026-05-19 15:49:10.132,system,system,true,,
4281,,,in_cord_контрол,In-Cord контрол,In-Cord контрол,50,ASBIS,2026-05-19 15:49:10.140,2026-05-19 15:49:10.140,system,system,true,,
4282,,,поддържани_цветове,Поддържани цветове,Поддържани цветове,50,ASBIS,2026-05-19 15:49:10.149,2026-05-19 15:49:10.149,system,system,true,,
4283,,,слушалки,Слушалки,Слушалки,50,ASBIS,2026-05-19 15:49:10.154,2026-05-19 15:49:10.154,system,system,true,,
4284,,,формат_на_говорителите,Формат на говорителите,Формат на говорителите,50,ASBIS,2026-05-19 15:49:10.172,2026-05-19 15:49:10.172,system,system,true,,
4285,,,тегло,Тегло,Тегло,50,ASBIS,2026-05-19 15:49:10.173,2026-05-19 15:49:10.173,system,system,true,,
4286,,,макс_вертикален_ъгъл,Макс. вертикален ъгъл,Макс. вертикален ъгъл,50,ASBIS,2026-05-19 15:49:10.404,2026-05-19 15:49:10.404,system,system,true,,
4287,,,максимална_скорост_на_видео_опресняване,Максимална скорост на видео-опресняване,Максимална скорост на видео-опресняване,50,ASBIS,2026-05-19 15:49:10.407,2026-05-19 15:49:10.407,system,system,true,,
4288,,,hdmi_2_1,HDMI 2.1,HDMI 2.1,50,ASBIS,2026-05-19 15:49:10.424,2026-05-19 15:49:10.424,system,system,true,,
4289,,,eprel,EPREL,EPREL,50,ASBIS,2026-05-19 15:49:10.432,2026-05-19 15:49:10.432,system,system,true,,
4290,,,energy_label,Energy Label,Energy Label,50,ASBIS,2026-05-19 15:49:10.539,2026-05-19 15:49:10.539,system,system,true,,
4291,,,usb_a,USB (A),USB (A),50,ASBIS,2026-05-19 15:49:10.544,2026-05-19 15:49:10.544,system,system,true,,
4292,,,ергономични_функции,Ергономични функции,Ергономични функции,50,ASBIS,2026-05-19 15:49:10.546,2026-05-19 15:49:10.546,system,system,true,,
4294,,,цветова_гама,Цветова гама,Цветова гама,50,ASBIS,2026-05-19 15:49:10.558,2026-05-19 15:49:10.558,system,system,true,,
4295,,,монтажни_възможности_на_плосък_панел,Монтажни възможности на плосък панел,Монтажни възможности на плосък панел,50,ASBIS,2026-05-19 15:49:10.589,2026-05-19 15:49:10.589,system,system,true,,
4296,,,тип_на_резбата,Тип на резбата,Тип на резбата,50,ASBIS,2026-05-19 15:49:10.603,2026-05-19 15:49:10.603,system,system,true,,
4297,,,макс_хоризонтален_ъгъл,Макс. хоризонтален ъгъл,Макс. хоризонтален ъгъл,50,ASBIS,2026-05-19 15:49:10.605,2026-05-19 15:49:10.605,system,system,true,,
4298,,,големина_на_използваната_част_от_екрана,Големина на използваната част от екрана,Големина на използваната част от екрана,50,ASBIS,2026-05-19 15:49:10.606,2026-05-19 15:49:10.606,system,system,true,,
4299,,,радиус_на_кривата,Радиус на кривата,Радиус на кривата,50,ASBIS,2026-05-19 15:49:10.628,2026-05-19 15:49:10.628,system,system,true,,
4300,,,usb_b,USB (B),USB (B),50,ASBIS,2026-05-19 15:49:10.637,2026-05-19 15:49:10.637,system,system,true,,
4301,,,големина_на_точката,Големина на точката,Големина на точката,50,ASBIS,2026-05-19 15:49:10.638,2026-05-19 15:49:10.638,system,system,true,,
4302,,,вид_матрица,Вид матрица,Вид матрица,50,ASBIS,2026-05-19 15:49:10.708,2026-05-19 15:49:10.708,system,system,true,,
4303,,,usb_c,USB (C),USB (C),50,ASBIS,2026-05-19 15:49:10.722,2026-05-19 15:49:10.722,system,system,true,,
5937,,,,Compliant devices,Compliant devices,50,MOST,2026-05-26 01:25:42.613,2026-05-26 01:25:42.613,system,system,true,compliant_devices,
4312,,,color,#Color,#Color,50,ASBIS,2026-05-19 15:49:10.777,2026-05-19 15:49:10.777,system,system,true,,
4321,,,в_комплект_с,В комплект с,В комплект с,50,ASBIS,2026-05-19 15:49:11.197,2026-05-19 15:49:11.197,system,system,true,,
4322,,,abs_pa757f,ABS PA757F,ABS PA757F,50,ASBIS,2026-05-19 15:49:11.235,2026-05-19 15:49:11.235,system,system,true,,
4306,,,types_of_product,Видове продукти,Types of Product,50,ASBIS,2026-05-19 15:49:10.730,2026-05-19 15:49:10.730,system,system,true,,
4307,,,structure,Структура,Structure,50,ASBIS,2026-05-19 15:49:10.733,2026-05-19 15:49:10.733,system,system,true,,
4308,,,bag_thickness,Дебелина на торбата,Bag Thickness,50,ASBIS,2026-05-19 15:49:10.734,2026-05-19 15:49:10.734,system,system,true,,
4309,,,internal_material,Вътрешен материал,Internal Material,50,ASBIS,2026-05-19 15:49:10.735,2026-05-19 15:49:10.735,system,system,true,,
5938,,,,Kit of,Kit of,50,MOST,2026-05-26 01:25:42.621,2026-05-26 01:25:42.621,system,system,true,kit_of,
4324,,,pa66101f,PA66101F,PA66101F,50,ASBIS,2026-05-19 15:49:11.243,2026-05-19 15:49:11.243,system,system,true,,
4325,,,pom_fm090,POM FM090,POM FM090,50,ASBIS,2026-05-19 15:49:11.246,2026-05-19 15:49:11.246,system,system,true,,
5939,,,,Write speed ,Write speed ,50,MOST,2026-05-26 01:25:42.678,2026-05-26 01:25:42.678,system,system,true,write_speed,
4333,,,tpe,TPE,TPE,50,ASBIS,2026-05-19 15:49:11.274,2026-05-19 15:49:11.274,system,system,true,,
4336,,,abs_920,ABS 920,ABS 920,50,ASBIS,2026-05-19 15:49:11.285,2026-05-19 15:49:11.285,system,system,true,,
4343,,,минимална_подходяща_височина,Минимална подходяща височина,Минимална подходяща височина,50,ASBIS,2026-05-19 15:49:11.298,2026-05-19 15:49:11.298,system,system,true,,
4344,,,тегло_на_стола,Тегло на стола,Тегло на стола,50,ASBIS,2026-05-19 15:49:11.301,2026-05-19 15:49:11.301,system,system,true,,
4346,,,дълбочина_на_стола,Дълбочина на стола,Дълбочина на стола,50,ASBIS,2026-05-19 15:49:11.313,2026-05-19 15:49:11.313,system,system,true,,
4347,,,височина_на_стола,Височина на стола,Височина на стола,50,ASBIS,2026-05-19 15:49:11.320,2026-05-19 15:49:11.320,system,system,true,,
4348,,,максимална_подходяща_височина,Максимална подходяща височина,Максимална подходяща височина,50,ASBIS,2026-05-19 15:49:11.328,2026-05-19 15:49:11.328,system,system,true,,
4349,,,ширина_на_стола,Ширина на стола,Ширина на стола,50,ASBIS,2026-05-19 15:49:11.331,2026-05-19 15:49:11.331,system,system,true,,
4350,,,характеристики_на_стола,Характеристики на стола,Характеристики на стола,50,ASBIS,2026-05-19 15:49:11.341,2026-05-19 15:49:11.341,system,system,true,,
4351,,,максимално_подходящо_тегло,Максимално подходящо тегло,Максимално подходящо тегло,50,ASBIS,2026-05-19 15:49:11.356,2026-05-19 15:49:11.356,system,system,true,,
4352,,,mabs_558,MABS 558,MABS 558,50,ASBIS,2026-05-19 15:49:11.359,2026-05-19 15:49:11.359,system,system,true,,
4353,,,pp_3_gf,PP+3%GF,PP+3%GF,50,ASBIS,2026-05-19 15:49:11.360,2026-05-19 15:49:11.360,system,system,true,,
4354,,,макс_мощност_w,Макс. мощност (W),Макс. мощност (W),50,ASBIS,2026-05-19 15:49:11.361,2026-05-19 15:49:11.361,system,system,true,,
4355,,,abs417,ABS417,ABS417,50,ASBIS,2026-05-19 15:49:11.364,2026-05-19 15:49:11.364,system,system,true,,
4365,,,economic_operator_in_eu_authorized_representative,Economic operator in EU / authorized representative,Economic operator in EU / authorized representative,50,ASBIS,2026-05-19 15:49:11.495,2026-05-19 15:49:11.495,system,system,true,,
4366,,,postal_address,Postal address,Postal address,50,ASBIS,2026-05-19 15:49:11.510,2026-05-19 15:49:11.510,system,system,true,,
4367,,,electronic_address,Electronic address,Electronic address,50,ASBIS,2026-05-19 15:49:11.525,2026-05-19 15:49:11.525,system,system,true,,
4369,,,договорен_период,Договорен период,Договорен период,50,ASBIS,2026-05-19 15:49:11.538,2026-05-19 15:49:11.538,system,system,true,,
4326,,,mode_types,Видове режими,Mode types,50,ASBIS,2026-05-19 15:49:11.249,2026-05-19 15:49:11.249,system,system,true,,
4328,,,battery_indication,Индикация на батерията,Battery indication,50,ASBIS,2026-05-19 15:49:11.252,2026-05-19 15:49:11.252,system,system,true,,
4329,,,removable_water_tank,Сменяем резервоар за вода,Removable water tank,50,ASBIS,2026-05-19 15:49:11.255,2026-05-19 15:49:11.255,system,system,true,,
4330,,,maximum_continuous_time_use,Максимално непрекъснато ползване,Maximum continuous time use,50,ASBIS,2026-05-19 15:49:11.256,2026-05-19 15:49:11.256,system,system,true,,
4331,,,mode_indication,Индикация на режима,Mode indication,50,ASBIS,2026-05-19 15:49:11.258,2026-05-19 15:49:11.258,system,system,true,,
4334,,,smart_cleaning_programs,Умни програми за почистване,Smart cleaning programs,50,ASBIS,2026-05-19 15:49:11.280,2026-05-19 15:49:11.280,system,system,true,,
4335,,,rotation_jet,Въртящ се струй,Rotation jet,50,ASBIS,2026-05-19 15:49:11.284,2026-05-19 15:49:11.284,system,system,true,,
4337,,,operating_time_on_a_full_water_refueling,Работно вр. след пълно зареждане с вода,Operating time on a full water refueling,50,ASBIS,2026-05-19 15:49:11.288,2026-05-19 15:49:11.288,system,system,true,,
4338,,,water_pulsation_frequency,Честота на пулсиране на водата,Water Pulsation Frequency,50,ASBIS,2026-05-19 15:49:11.290,2026-05-19 15:49:11.290,system,system,true,,
4339,,,water_tank_ml,"Резервоар за вода, мл","Water tank, ml",50,ASBIS,2026-05-19 15:49:11.293,2026-05-19 15:49:11.293,system,system,true,,
4341,,,charging_indication,Индикация на зареждане,Charging indication,50,ASBIS,2026-05-19 15:49:11.295,2026-05-19 15:49:11.295,system,system,true,,
4342,,,irrigator_pressure_psi,"Налягане на иригатора, PSI","Irrigator pressure, PSI",50,ASBIS,2026-05-19 15:49:11.297,2026-05-19 15:49:11.297,system,system,true,,
4345,,,chair_type,Тип стол,Chair Type,50,ASBIS,2026-05-19 15:49:11.311,2026-05-19 15:49:11.311,system,system,true,,
4356,,,anti_fire_abs,Огнеупорен ABS,Anti-fire ABS,50,ASBIS,2026-05-19 15:49:11.366,2026-05-19 15:49:11.366,system,system,true,,
4360,,,voice_pickup_range,Обхват за улавяне на глас,Voice PickUp Range,50,ASBIS,2026-05-19 15:49:11.413,2026-05-19 15:49:11.413,system,system,true,,
4362,,,audio_output_channels_quantity,Брой аудио изходни канали,Audio Output Channels Quantity,50,ASBIS,2026-05-19 15:49:11.492,2026-05-19 15:49:11.492,system,system,true,,
4364,,,connection_type,Тип връзка,Connection type,50,ASBIS,2026-05-19 15:49:11.494,2026-05-19 15:49:11.494,system,system,true,,
4368,,,extension_period,Период на удължаване,Extension Period,50,ASBIS,2026-05-19 15:49:11.536,2026-05-19 15:49:11.536,system,system,true,,
5469,,,vacuum_kpa,Вакуум (kPa),Vacuum (kPa),50,ASBIS,2026-05-19 15:49:19.796,2026-05-19 15:49:19.796,system,system,true,,
